,Person,Subcategory,Category
3234,Melati van Java,Dutch writers,Writers
3235,Hendrik Tillema,Dutch writers,Writers
3236,Bibi de Vries,Dutch writers,Writers
3237,Clara Wichmann,Dutch writers,Writers
3238,Frans Kuyper,Dutch writers,Writers
3239,Gerrit Willem van Oosten de Bruyn,Dutch writers,Writers
3240,Cornelis van Rijssen,Dutch writers,Writers
3241,Schrevelius,Dutch writers,Writers
3242,Tjalling Halbertsma,Dutch writers,Writers
3243,Imme Dros,Dutch writers,Writers
3244,Q.S. Serafijn,Dutch writers,Writers
3245,Rinus Ferdinandusse,Dutch writers,Writers
3246,Swami Purnachaitanya,Dutch writers,Writers
3247,Louwrien Wijers,Dutch writers,Writers
3248,Dubravka Ugrešić,Dutch writers,Writers
3249,Ries Mulder,Dutch writers,Writers
3250,Adriaan Pit,Dutch writers,Writers
3251,L. H. Wiener,Dutch writers,Writers
3252,Lodewijk van Deyssel,Dutch writers,Writers
3253,Wieteke van Dort,Dutch writers,Writers
3254,Minny Mock-Degen,Dutch writers,Writers
3255,Emy Koopman,Dutch writers,Writers
3256,Toine Heijmans,Dutch writers,Writers
3257,Sander Schimmelpenninck,Dutch writers,Writers
3258,Nicolaas Vergunst,Dutch writers,Writers
3259,Tjalie Robinson,Dutch writers,Writers
3260,Ivan Wolffers,Dutch writers,Writers
3261,Wytze Keuning,Dutch writers,Writers
3262,Luís Cardoso,East Timorese writers,Writers
3263,Emília Pires,East Timorese writers,Writers
3264,Fernando Sylvan,East Timorese writers,Writers
3265,Luis Zúñiga,Ecuadorian writers,Writers
3266,Leonardo Valencia (writer),Ecuadorian writers,Writers
3267,José Antonio Campos,Ecuadorian writers,Writers
3268,Jorge Dávila Vásquez,Ecuadorian writers,Writers
3269,Mauro Javier Cárdenas,Ecuadorian writers,Writers
3270,Diógenes Cuero,Ecuadorian writers,Writers
3271,Luis Chiriboga Izquierdo,Ecuadorian writers,Writers
3272,Josué Augusto Durán,Ecuadorian writers,Writers
3273,Iván Egüez,Ecuadorian writers,Writers
3274,Nicolás Kingman Riofrío,Ecuadorian writers,Writers
3275,Rita Lecumberri,Ecuadorian writers,Writers
3276,Rodrigo Pesántez Rodas,Ecuadorian writers,Writers
3277,Juan Valdano Morejón,Ecuadorian writers,Writers
3278,Maritza Cino,Ecuadorian writers,Writers
3279,María Fernanda Heredia,Ecuadorian writers,Writers
3280,Alfonso Barrera Valverde,Ecuadorian writers,Writers
3281,Humberto Vinueza,Ecuadorian writers,Writers
3282,Raymond Mériguet,Ecuadorian writers,Writers
3283,Yasmine El Rashidi,Egyptian writers,Writers
3284,Abd al-Masih Salib al-Masudi,Egyptian writers,Writers
3285,Latifa al-Zayyat,Egyptian writers,Writers
3286,Ibn Ata Allah al-Iskandari,Egyptian writers,Writers
3287,Nahla Karam,Egyptian writers,Writers
3288,Mark A. Gabriel,Egyptian writers,Writers
3289,Fawzia Al-Ashmawi,Egyptian writers,Writers
3290,Khalil Abdel-Karim,Egyptian writers,Writers
3291,Duaa Abdelrahman,Egyptian writers,Writers
3292,Zaghloul El-Naggar,Egyptian writers,Writers
3293,Alsayed Agazayerli,Egyptian writers,Writers
3294,Hamed Abdel-Samad,Egyptian writers,Writers
3295,Khalil Kalfat,Egyptian writers,Writers
3296,Ahmed Subhy Mansour,Egyptian writers,Writers
3297,Badredin Aboughazi,Egyptian writers,Writers
3298,Granada (Trilogy),Egyptian writers,Writers
3299,Nasser Iraq,Egyptian writers,Writers
3300,Altaher Sharqawi,Egyptian writers,Writers
3301,Mahmud Awad,Egyptian writers,Writers
3302,Mohamed Rafie,Egyptian writers,Writers
3303,Ahmed Shablool,Egyptian writers,Writers
3304,Abd al-Rahman Abd al-Khaliq,Egyptian writers,Writers
3305,Al-Damiri,Egyptian writers,Writers
3306,Nael Eltoukhy,Egyptian writers,Writers
3307,Azmy Abdelwahab,Egyptian writers,Writers
3308,Najib Kilani,Egyptian writers,Writers
3309,Marwa Jawhar,Egyptian writers,Writers
3310,Elsayed Hafez,Egyptian writers,Writers
3311,Faouzi Khidr,Egyptian writers,Writers
3312,Abdel Wahab El-Messiri,Egyptian writers,Writers
3313,Ahmad Zaki Pasha,Egyptian writers,Writers
3314,Shawqi Daif,Egyptian writers,Writers
3315,Raouf Salama Moussa,Egyptian writers,Writers
3316,Al-Zini Barakat (Novel),Egyptian writers,Writers
3317,Fawzia Fahim,Egyptian writers,Writers
3318,Samia Mehrez,Egyptian writers,Writers
3319,Seeds of Corruption (Novel),Egyptian writers,Writers
3320,Ragheb Sergani,Egyptian writers,Writers
3321,Ibrahim Farghali,Egyptian writers,Writers
3322,Saad Eddin Ibrahim,Egyptian writers,Writers
3323,Ahmed Hassanein,Egyptian writers,Writers
3324,Al-Ibshihi,Egyptian writers,Writers
3325,Ahmed Amin,Egyptian writers,Writers
3326,Ahmed Mohamed Al-Hofi,Egyptian writers,Writers
3327,Khaled Azab,Egyptian writers,Writers
3328,Tarek Heggy,Egyptian writers,Writers
3329,Gamal Kotb,Egyptian writers,Writers
3330,Donia Maher,Egyptian writers,Writers
3331,Samah Abu Bakr Ezzat,Egyptian writers,Writers
3332,Abdel-Raof el-Reedy,Egyptian writers,Writers
3333,Abdel Rahim Ahmed,Egyptian writers,Writers
3334,Robert Bauval,Egyptian writers,Writers
3335,Mohamed Salmawy,Egyptian writers,Writers
3336,Abu Tahir al-Silafi,Egyptian writers,Writers
3337,Badi' Khayri,Egyptian writers,Writers
3338,Mo Gawdat,Egyptian writers,Writers
3339,Muhammad Imara,Egyptian writers,Writers
3340,Mansur al-Buhuti,Egyptian writers,Writers
3341,A Story Without a Beginning or an Ending,Egyptian writers,Writers
3342,Ahmed Mansour (journalist),Egyptian writers,Writers
3343,Talaat al-Shayeb,Egyptian writers,Writers
3344,Muhammad Loutfi Goumah,Egyptian writers,Writers
3345,Tarek Shahin,Egyptian writers,Writers
3346,Randa Ghazy,Egyptian writers,Writers
3347,Ahmad Abdulatif,Egyptian writers,Writers
3348,Fatma Moussa,Egyptian writers,Writers
3349,Kamal Ruhayyim,Egyptian writers,Writers
3350,Dom Hubert van Zeller,Egyptian writers,Writers
3351,Assia Dagher,Egyptian writers,Writers
3352,Mustafa Mahmoud,Egyptian writers,Writers
3353,Tawfik Hamid,Egyptian writers,Writers
3354,Mahmoud Kassem,Egyptian writers,Writers
3355,Hanan Lachine,Egyptian writers,Writers
3356,Ibn Salim al-Aswani,Egyptian writers,Writers
3357,Khaled Al Khamissi,Egyptian writers,Writers
3358,Fathy Ghanem,Egyptian writers,Writers
3359,Ahmed Kafafi,Egyptian writers,Writers
3360,Kamel Keilany,Egyptian writers,Writers
3361,Mahmud Bakhith Al Rabii,Egyptian writers,Writers
3362,Simon Malley,Egyptian writers,Writers
3363,Edmond Jabès,Egyptian writers,Writers
3364,Mohamed Nagui,Egyptian writers,Writers
3365,Ali Ali Awad,Egyptian writers,Writers
3366,Fawziya Mahran,Egyptian writers,Writers
3367,Salah al-Deen Hafez,Egyptian writers,Writers
3368,Salma Fayed,Egyptian writers,Writers
3369,Haggag Oddoul,Egyptian writers,Writers
3370,Naglaa Mahfouz,Egyptian writers,Writers
3371,Muḥammad Zaki Abd Al-Salam Mubarak,Egyptian writers,Writers
3372,Abd Al-Bir Al-Fayumi,Egyptian writers,Writers
3373,Youssef Rakha,Egyptian writers,Writers
3374,Ahmad Al-Khamisi,Egyptian writers,Writers
3375,Ahmed Al-Sheety,Egyptian writers,Writers
3376,Amira Hilmi Matar,Egyptian writers,Writers
3377,Ahmed Lutfi el-Sayed,Egyptian writers,Writers
3378,Youssef Maaty,Egyptian writers,Writers
3379,Farouk Abdul-Aziz,Egyptian writers,Writers
3380,The Blue Elephant (novel),Egyptian writers,Writers
3381,Rafik Habib,Egyptian writers,Writers
3382,Mohamed Tawfik,Egyptian writers,Writers
3383,Waheed Al Taweela,Egyptian writers,Writers
3384,Mohammad Moustafa Haddara,Egyptian writers,Writers
3385,Adel Iskandar,Egyptian writers,Writers
3386,Whisper of Madness,Egyptian writers,Writers
3387,Ahmed El-Fakharany,Egyptian writers,Writers
3388,Abd al-Rahman Sharqawi,Egyptian writers,Writers
3389,Belal Fadl,Egyptian writers,Writers
3390,Abd al-Qadir Qitt,Egyptian writers,Writers
3391,Muhammad Al-Labani,Egyptian writers,Writers
3392,Safinaz Kazem,Egyptian writers,Writers
3393,Maryam al-Nahhas,Egyptian writers,Writers
3394,Bayoumi Andil,Egyptian writers,Writers
3395,Eslam Mosbah,Egyptian writers,Writers
3396,Ahmad Al Mallawani,Egyptian writers,Writers
3397,Ahmed Osman (author),Egyptian writers,Writers
3398,Ihsan El-Kousy,Egyptian writers,Writers
3399,Walaa Kamal,Egyptian writers,Writers
3400,Mahmmud Nasim,Egyptian writers,Writers
3401,Amira Nowaira,Egyptian writers,Writers
3402,Mohammad Najib Abdallah,Egyptian writers,Writers
3403,Ezz El-Din Esmail,Egyptian writers,Writers
3404,Sayyid Al-Qemany,Egyptian writers,Writers
3405,Khaled al-Berry,Egyptian writers,Writers
3406,Muhammad Jamal Saqr,Egyptian writers,Writers
3407,Bahaa Abdelmegid,Egyptian writers,Writers
3408,Affaf Tobbala,Egyptian writers,Writers
3409,Omar Mohamed El-Sayed Fikri,Egyptian writers,Writers
3410,Omar Abd al-Kafi,Egyptian writers,Writers
3411,Mohammad Salim Al-Awa,Egyptian writers,Writers
3412,Abdel Rahman Fahmy,Egyptian writers,Writers
3413,Habib Al Sayegh,Emirati writers,Writers
3414,Dubai Abulhoul,Emirati writers,Writers
3415,Hessa Al Muhairi,Emirati writers,Writers
3416,Ibrahim Mubarak,Emirati writers,Writers
3417,Eman Al Yousuf,Emirati writers,Writers
3418,Salha Ghabish,Emirati writers,Writers
3419,Kulthum Bin Masoud,Emirati writers,Writers
3420,Muhammad Obaid,Emirati writers,Writers
3421,Adel Khozam,Emirati writers,Writers
3422,Nasser al-Dhaheri,Emirati writers,Writers
3423,Manal Abdullah Al-Ghadani Al-Shehhi,Emirati writers,Writers
3424,Salha Obeid,Emirati writers,Writers
3425,Qais Sedki,Emirati writers,Writers
3426,Maisoon Saqer,Emirati writers,Writers
3427,Reem al-Kamali,Emirati writers,Writers
3428,Sultan Al-Jasmi,Emirati writers,Writers
3429,Sultan Al Ameemi,Emirati writers,Writers
3430,Wedad Lootah,Emirati writers,Writers
3431,Maryam Saqer Al Qasimi,Emirati writers,Writers
3432,Aisha Al Kaabi,Emirati writers,Writers
3433,Andrew Ford (composer),English writers,Writers
3434,Tom Mangold,English writers,Writers
3435,Albert Dresden Vandam,English writers,Writers
3436,Whitelocke Bulstrode,English writers,Writers
3437,Weeden Butler,English writers,Writers
3438,Joseph Cundall,English writers,Writers
3439,Michael Dodson,English writers,Writers
3440,Arthur Benoni Evans,English writers,Writers
3441,Nicholas Lander,English writers,Writers
3442,Kenneth Hudson,English writers,Writers
3443,Sol B River,English writers,Writers
3444,Peter Robbins (author),English writers,Writers
3445,Tony Geraghty,English writers,Writers
3446,Graham David Smith,English writers,Writers
3447,George John Stevenson,English writers,Writers
3448,John Duncan (writer),English writers,Writers
3449,John Hoyle (author),English writers,Writers
3450,O. F. Snelling,English writers,Writers
3451,Eley Williams,English writers,Writers
3452,Victor Richards,English writers,Writers
3453,George Edward Jelf,English writers,Writers
3454,Terence De Marney,English writers,Writers
3455,Neil McDonald (chess player),English writers,Writers
3456,Rupert Christiansen,English writers,Writers
3457,Maud Diver,English writers,Writers
3458,George Dodd (19th-century writer),English writers,Writers
3459,Sarah Gratton,English writers,Writers
3460,James Tobin (planter),English writers,Writers
3461,William Master (author),English writers,Writers
3462,Arthur T. F. Reynolds,English writers,Writers
3463,Jean Rasmussen,English writers,Writers
3464,Matt Kennard (journalist),English writers,Writers
3465,John Thackara,English writers,Writers
3466,William Fordyce Mavor,English writers,Writers
3467,Rory MacLean,English writers,Writers
3468,Baradwaj Rangan,English writers,Writers
3469,Bennet Langton,English writers,Writers
3470,Sarah Mytton Maury,English writers,Writers
3471,Charles West (author),English writers,Writers
3472,Leslie Halliwell,English writers,Writers
3473,Shumon Basar,English writers,Writers
3474,Alan Noel Latimer Munby,English writers,Writers
3475,Patrick Dixon,English writers,Writers
3476,John Kingston (publisher),English writers,Writers
3477,William Paul (horticulturalist),English writers,Writers
3478,Richard Rolfe,English writers,Writers
3479,Marian Partington,English writers,Writers
3480,William Hayter (diplomat),English writers,Writers
3481,Jack Westrup,English writers,Writers
3482,Joseph Gleeson White,English writers,Writers
3483,Thomas Ewbank,English writers,Writers
3484,Joseph Nightingale,English writers,Writers
3485,Paul Roland,English writers,Writers
3486,Harry Stirling Crawfurd Everard,English writers,Writers
3487,Charles Whistler,English writers,Writers
3488,Seth Burkett,English writers,Writers
3489,Henrietta Moraes,English writers,Writers
3490,Vivian Milroy,English writers,Writers
3491,Thomas Jenner (publisher),English writers,Writers
3492,John Clive,English writers,Writers
3493,Nathaniel Kent,English writers,Writers
3494,John King (author),English writers,Writers
3495,Francis Edward Smedley,English writers,Writers
3496,George Mason (writer),English writers,Writers
3497,Martin Madan,English writers,Writers
3498,Janet Behan,English writers,Writers
3499,John Croft (wine merchant),English writers,Writers
3500,Kate Summerscale,English writers,Writers
3501,Bill Tarmey,English writers,Writers
3502,Tom Emmott,English writers,Writers
3503,Rohan Candappa,English writers,Writers
3504,John Gee (priest),English writers,Writers
3505,Samuel Ralph Townshend Mayer,English writers,Writers
3506,Jonny Trunk,English writers,Writers
3507,John Luard,English writers,Writers
3508,John Nichol (RAF officer),English writers,Writers
3509,Edward Rigby (physician),English writers,Writers
3510,William Henderson Dawson,English writers,Writers
3511,R. J. Dent,English writers,Writers
3512,Martin Orwin,English writers,Writers
3513,Victoria Hislop,English writers,Writers
3514,John Volts,English writers,Writers
3515,J. A. Cuddon,English writers,Writers
3516,Gregor Grant,English writers,Writers
3517,Edward Parsons (minister),English writers,Writers
3518,Henry Jones (writer),English writers,Writers
3519,Thomas Potts (writer),English writers,Writers
3520,William Augustus Miles,English writers,Writers
3521,Samuel Croxall,English writers,Writers
3522,Christopher Winchester,English writers,Writers
3523,Cecil Street,English writers,Writers
3524,Arthur Osborne (writer),English writers,Writers
3525,John Noorthouck,English writers,Writers
3526,Edward Hertslet,English writers,Writers
3527,Sarah Perry,English writers,Writers
3528,Richard Clarke Sewell,English writers,Writers
3529,Edward Heron-Allen,English writers,Writers
3530,Maxime de la Falaise,English writers,Writers
3531,Simon Strong,English writers,Writers
3532,John Moore (British writer),English writers,Writers
3533,William Hails,English writers,Writers
3534,Robert Kemp Philp,English writers,Writers
3535,James Augustus St. John,English writers,Writers
3536,William Hendry Stowell,English writers,Writers
3537,Jonathan Rendall,English writers,Writers
3538,Cecil Goodden,English writers,Writers
3539,Darian Leader,English writers,Writers
3540,Richard Kingston,English writers,Writers
3541,Jonathan Ripley,English writers,Writers
3542,Marco Pallis,English writers,Writers
3543,Hugh O'Shaughnessy,English writers,Writers
3544,Thomas Tredgold,English writers,Writers
3545,Arthur Owen Vaughan,English writers,Writers
3546,David Nicoll (anarchist),English writers,Writers
3547,Brian Sewell,English writers,Writers
3548,Nathaniel Ingelo,English writers,Writers
3549,Robert Mullan,English writers,Writers
3550,Cyril Power,English writers,Writers
3551,Ian Sayer,English writers,Writers
3552,Richard Alfred Davenport,English writers,Writers
3553,Jeremy Nicholas (writer),English writers,Writers
3554,Charles Wilkins (writer),English writers,Writers
3555,Octavian Blewitt,English writers,Writers
3556,John Nunn (sailor),English writers,Writers
3557,Jo-Anne Nadler,English writers,Writers
3558,Jo Neary,English writers,Writers
3559,Alexandra Brown,English writers,Writers
3560,Laurence Rees,English writers,Writers
3561,Thomas Bigge,English writers,Writers
3562,Celia Haddon,English writers,Writers
3563,Susanna Hopton,English writers,Writers
3564,A. A. Thomson,English writers,Writers
3565,William Nicholls (theologian),English writers,Writers
3566,Chris de Souza,English writers,Writers
3567,Peter Cotes,English writers,Writers
3568,Bertram Windle,English writers,Writers
3569,John Higgs,English writers,Writers
3570,Roger Sabin,English writers,Writers
3571,Samuel Parr,English writers,Writers
3572,Theophilus Metcalfe,English writers,Writers
3573,John Scott-Waring,English writers,Writers
3574,Ethelred Taunton,English writers,Writers
3575,Anthony Slide,English writers,Writers
3576,Serena Gosden-Hood,English writers,Writers
3577,Paul McKenna,English writers,Writers
3578,John Smith (Unitarian),English writers,Writers
3579,Edward Waterhouse (FRS),English writers,Writers
3580,Henry Coventry (writer),English writers,Writers
3581,Martyn Lawrence Bullard,English writers,Writers
3582,Stephen Thrower,English writers,Writers
3583,George Pettie,English writers,Writers
3584,James Runciman,English writers,Writers
3585,Clyde Sanger,English writers,Writers
3586,J. L. Manning,English writers,Writers
3587,John Sparrow (academic),English writers,Writers
3588,Martyn Clayton,English writers,Writers
3589,Jonathan Wilson (author),English writers,Writers
3590,Barbara Cleverly,English writers,Writers
3591,William Danby (writer),English writers,Writers
3592,Lewis Sergeant,English writers,Writers
3593,George Burnett (writer),English writers,Writers
3594,Edmund Candler,English writers,Writers
3595,Rob St. John,English writers,Writers
3596,Harman Grisewood,English writers,Writers
3597,Lily Powell,English writers,Writers
3598,Gareth Thompson,English writers,Writers
3599,Katie Redford (actress),English writers,Writers
3600,Edmund de Waal,English writers,Writers
3601,William Richards (priest),English writers,Writers
3602,Ann Paludan,English writers,Writers
3603,Edgar Metcalfe,English writers,Writers
3604,Simon Rose (journalist),English writers,Writers
3605,Carol Drinkwater,English writers,Writers
3606,Michael Ridpath,English writers,Writers
3607,Henry Alworth Merewether,English writers,Writers
3608,John Chetwode Eustace,English writers,Writers
3609,Kevin Pearce (writer),English writers,Writers
3610,Stevyn Colgan,English writers,Writers
3611,Edward Clarke (author),English writers,Writers
3612,George Lacy Hillier,English writers,Writers
3613,Anton Vamplew,English writers,Writers
3614,Sean Martin (filmmaker),English writers,Writers
3615,"Sir Digby Neave, 3rd Baronet",English writers,Writers
3616,John Scoffern,English writers,Writers
3617,Matthew Sweet (writer),English writers,Writers
3618,Nick Brownlee,English writers,Writers
3619,Weeden Butler the younger,English writers,Writers
3620,Alexander Wicksteed,English writers,Writers
3621,Rudolph Putnam Messel,English writers,Writers
3622,John Sturrock (writer),English writers,Writers
3623,Dave Rich,English writers,Writers
3624,Vernon Coleman,English writers,Writers
3625,Edward Smedley,English writers,Writers
3626,Gregg Wallace,English writers,Writers
3627,George Birkbeck Hill,English writers,Writers
3628,Dick Wilson (writer),English writers,Writers
3629,Tony Tyler,English writers,Writers
3630,William Brunsdon Yapp,English writers,Writers
3631,Jake Brunger and Pippa Cleary,English writers,Writers
3632,Percy Cradock,English writers,Writers
3633,Walter Moyle,English writers,Writers
3634,John Collett Ryland,English writers,Writers
3635,William Fawcett (author),English writers,Writers
3636,William Walton (writer),English writers,Writers
3637,Timothy Hyman,English writers,Writers
3638,Joseph Jekyll (1754–1837),English writers,Writers
3639,John McEnery,English writers,Writers
3640,Richard Cottrell (politician),English writers,Writers
3641,Thomas Lupton (16th-century writer),English writers,Writers
3642,Emily Tennyson Bradley,English writers,Writers
3643,Clive Dunn,English writers,Writers
3644,John Narrien,English writers,Writers
3645,James Puckle,English writers,Writers
3646,Patrick Harpur,English writers,Writers
3647,John Nunn,English writers,Writers
3648,Jelinger Cookson Symons,English writers,Writers
3649,James Dredge Jr.,English writers,Writers
3650,Frank Kingdon-Ward,English writers,Writers
3651,Joseph Tom Burgess,English writers,Writers
3652,John Weyland,English writers,Writers
3653,Henry Peacham (born 1546),English writers,Writers
3654,Philip Serrell,English writers,Writers
3655,Martin Litherland,English writers,Writers
3656,"Elizabeth Herbert, Baroness Herbert of Lea",English writers,Writers
3657,Richard Knill,English writers,Writers
3658,Perceval Landon,English writers,Writers
3659,Kenelm Foss,English writers,Writers
3660,Paul Gorman,English writers,Writers
3661,James Crossley (author),English writers,Writers
3662,John Herman Merivale,English writers,Writers
3663,Jacob Post,English writers,Writers
3664,Rose Shapiro,English writers,Writers
3665,Jonathan Trigell,English writers,Writers
3666,Martin Lewis (humorist),English writers,Writers
3667,Horace Annesley Vachell,English writers,Writers
3668,George Manville Fenn,English writers,Writers
3669,Geoffrey Moss,English writers,Writers
3670,Jonathan Waxman (oncologist),English writers,Writers
3671,Cosh Omar,English writers,Writers
3672,Edward Girdlestone,English writers,Writers
3673,Andrew Brown (writer),English writers,Writers
3674,F. A. Mitchell-Hedges,English writers,Writers
3675,William Young Ottley,English writers,Writers
3676,Douglas Reeman,English writers,Writers
3677,Leonard Huxley (writer),English writers,Writers
3678,Richard Weston (architect),English writers,Writers
3679,Brian N. Ball,English writers,Writers
3680,Basil Clarke,English writers,Writers
3681,Georgina Harding,English writers,Writers
3682,Caleb Jeacocke,English writers,Writers
3683,Derek Patmore,English writers,Writers
3684,Aiden Shaw,English writers,Writers
3685,Augustine David Crake,English writers,Writers
3686,Nigel Sitwell,English writers,Writers
3687,Philippa Perry,English writers,Writers
3688,Jenny Boyd,English writers,Writers
3689,George Wirgman Hemming,English writers,Writers
3690,Myles Thoroton Hildyard,English writers,Writers
3691,Charles Francis Meade,English writers,Writers
3692,Harold Elsdale Goad,English writers,Writers
3693,Jeff Kent (author),English writers,Writers
3694,Mary Petherbridge,English writers,Writers
3695,Gurney Slade (writer),English writers,Writers
3696,Cicely Hale,English writers,Writers
3697,John Earls,English writers,Writers
3698,Maisie Ward,English writers,Writers
3699,C. H. Bovill,English writers,Writers
3700,Sarah Stickney Ellis,English writers,Writers
3701,Jimmy Jones (tennis),English writers,Writers
3702,Alex Josey,English writers,Writers
3703,Alexander Fullerton,English writers,Writers
3704,William Martin (philosopher),English writers,Writers
3705,J. Thomas Looney,English writers,Writers
3706,Tickner Edwardes,English writers,Writers
3707,Miriam Gross,English writers,Writers
3708,Jacob Ilive,English writers,Writers
3709,Roy Hession,English writers,Writers
3710,John Mason (minister),English writers,Writers
3711,John Paget (author),English writers,Writers
3712,Roy Calley,English writers,Writers
3713,Adrian Weale,English writers,Writers
3714,Roland Muldoon,English writers,Writers
3715,James Lamont (writer),English writers,Writers
3716,Charles Hulbert,English writers,Writers
3717,Stasha Palos,English writers,Writers
3718,William Edward Vickers,English writers,Writers
3719,Peter C. Smith,English writers,Writers
3720,James McDonald (writer),English writers,Writers
3721,Ray Panthaki,English writers,Writers
3722,"Sir Alexander Malet, 2nd Baronet",English writers,Writers
3723,Joseph Spence (author),English writers,Writers
3724,Arthur John Strutt,English writers,Writers
3725,William Digby (writer),English writers,Writers
3726,Tanya Franks,English writers,Writers
3727,Aaron Summerscale,English writers,Writers
3728,Helen Zaltzman,English writers,Writers
3729,Henry William Pullen,English writers,Writers
3730,Edward Healy Thompson,English writers,Writers
3731,Maud Bodkin,English writers,Writers
3732,The Cooking Canon,English writers,Writers
3733,John Heygate,English writers,Writers
3734,Jasper Rootham,English writers,Writers
3735,David Campany,English writers,Writers
3736,Frederick George Carrington,English writers,Writers
3737,Oliver Stonor,English writers,Writers
3738,Henry Clarke (mathematician),English writers,Writers
3739,Bryon Butler,English writers,Writers
3740,Stan Gooch,English writers,Writers
3741,Bernard Mordaunt Ward,English writers,Writers
3742,John Philip Morier,English writers,Writers
3743,Samuel Parker (writer),English writers,Writers
3744,Bayle St. John,English writers,Writers
3745,James John Garth Wilkinson,English writers,Writers
3746,Frederick Rogers (bookbinder),English writers,Writers
3747,John Vernon Lord,English writers,Writers
3748,Frederick Nolan (writer),English writers,Writers
3749,Tim Downie,English writers,Writers
3750,James Thomas Law,English writers,Writers
3751,Kevin Kennedy (actor),English writers,Writers
3752,Charles Allston Collins,English writers,Writers
3753,John Leifchild,English writers,Writers
3754,Caroline Southwood Hill,English writers,Writers
3755,Martin Knight (author),English writers,Writers
3756,William Travers Symons,English writers,Writers
3757,Isaac Taylor (1759–1829),English writers,Writers
3758,Henry Kett,English writers,Writers
3759,John Wilks (swindler),English writers,Writers
3760,Pete Hoida,English writers,Writers
3761,Nathaniel Resbury,English writers,Writers
3762,Alexander Waugh,English writers,Writers
3763,Ben Crystal,English writers,Writers
3764,Leonard Howard,English writers,Writers
3765,William Mariner (writer),English writers,Writers
3766,Stanley Morgan (author),English writers,Writers
3767,Bolton Corney,English writers,Writers
3768,Rupert Wyatt,English writers,Writers
3769,Don Webb (playwright),English writers,Writers
3770,Mark Crick,English writers,Writers
3771,Joseph Strutt (engraver and antiquary),English writers,Writers
3772,Ian Thomson (writer),English writers,Writers
3773,Simon Lipson,English writers,Writers
3774,Evelyn Everett-Green,English writers,Writers
3775,Alfred Wilks Drayson,English writers,Writers
3776,Edward Charles Harington,English writers,Writers
3777,Daniel Johnson (surgeon),English writers,Writers
3778,John Doran (writer),English writers,Writers
3779,John Sommerfield,English writers,Writers
3780,Maxwell Fry,English writers,Writers
3781,Mark Edwards (British writer),English writers,Writers
3782,Roger Morris (English writer),English writers,Writers
3783,Henry Pemberton,English writers,Writers
3784,Humphry Sandwith,English writers,Writers
3785,Henry Lushington,English writers,Writers
3786,John Walwayn,English writers,Writers
3787,Roger Hutchinson (writer),English writers,Writers
3788,William Lawson (priest),English writers,Writers
3789,Constance Maud,English writers,Writers
3790,Donald Henderson (writer),English writers,Writers
3791,Vane Ireton Shaftesbury St John,English writers,Writers
3792,Emily Woof,English writers,Writers
3793,Joseph Fletcher (minister),English writers,Writers
3794,Brian Moynahan,English writers,Writers
3795,Percy Thornton,English writers,Writers
3796,Polly Samson,English writers,Writers
3797,George Saville Carey,English writers,Writers
3798,Anthony Grey,English writers,Writers
3799,John Spurling (author),English writers,Writers
3800,James Lasdun,English writers,Writers
3801,Ruth Weiss (writer),English writers,Writers
3802,George Oliver (freemason),English writers,Writers
3803,Henry Labouchère,English writers,Writers
3804,John Fothergill (innkeeper),English writers,Writers
3805,Harriett Gilbert,English writers,Writers
3806,Denys Rhodes,English writers,Writers
3807,Thomas Cogan,English writers,Writers
3808,William Senior (journalist),English writers,Writers
3809,Helen Craig,English writers,Writers
3810,Orlando Jewitt,English writers,Writers
3811,William Ashwell Shenstone,English writers,Writers
3812,John Sheppard (writer),English writers,Writers
3813,Alex Preston (author),English writers,Writers
3814,Ned Sherrin,English writers,Writers
3815,Alastair Sooke,English writers,Writers
3816,Mary Margaret Busk,English writers,Writers
3817,Philip Howard Frere,English writers,Writers
3818,John Ring (surgeon),English writers,Writers
3819,John Antes Latrobe,English writers,Writers
3820,Mary Cadogan,English writers,Writers
3821,Francis Lee (physician),English writers,Writers
3822,Mander and Mitchenson,English writers,Writers
3823,Alfred Henry Forrester,English writers,Writers
3824,Frida Knight,English writers,Writers
3825,Michael Sellers (actor),English writers,Writers
3826,Lyndon Wainwright,English writers,Writers
3827,Sean Chapman,English writers,Writers
3828,"Peter Rawlinson, Baron Rawlinson of Ewell",English writers,Writers
3829,James Mangles (Royal Navy officer),English writers,Writers
3830,George Culley,English writers,Writers
3831,Horace Marryat,English writers,Writers
3832,Andy Saunders (author),English writers,Writers
3833,Joseph Browne (physician),English writers,Writers
3834,Henry James Bruce,English writers,Writers
3835,Dillie Keane,English writers,Writers
3836,Patrick Cave,English writers,Writers
3837,Thomas Francis Dale,English writers,Writers
3838,Robert Huish,English writers,Writers
3839,Simon Parkin,English writers,Writers
3840,William Mattieu Williams,English writers,Writers
3841,William Sturch,English writers,Writers
3842,Harriet Cradock,English writers,Writers
3843,Stuart Evers,English writers,Writers
3844,Guy Burt,English writers,Writers
3845,Charles Bindley,English writers,Writers
3846,Clement Walker,English writers,Writers
3847,Hamlet Puleston,English writers,Writers
3848,John Gross,English writers,Writers
3849,Sophia Hull,English writers,Writers
3850,Malcolm Burr,English writers,Writers
3851,Paul Kane (writer),English writers,Writers
3852,John Woodham Dunn,English writers,Writers
3853,Charles Henry Parry,English writers,Writers
3854,George William Francis,English writers,Writers
